statsmodels_function,coverage,np_calls_count,partial_ak_coverage_sum,np_calls_array,function_ak_array
/base/data.py__handle_constant,0.85,13,11,"['ones' 'where' 'where' 'min' 'ones' 'linalg.matrix_rank' 'isfinite' 'min'
 'column_stack' 'max' 'max' 'array' 'isfinite']","['array_api._creation_functions.ones'
 'array_api._searching_functions.where' 'numeric.where'
 'array_api._statistical_functions.min' 'pdarraycreation.ones'
 'numeric.isfinite' 'pdarrayclass.min'
 'array_api._statistical_functions.max' 'pdarrayclass.max'
 'pdarraycreation.array' 'array_api._elementwise_functions.isfinite']"
/base/data.py__make_endog_names,1.0,0,0,[],[]
/base/data.py__make_exog_names,1.0,0,0,[],[]
/base/data.py__nan_row_maybe_two_inputs,1.0,1,1,['logical_or'],['array_api._elementwise_functions.logical_or']
/base/data.py__nan_rows,1.0,0,0,[],[]
/base/data.py_attach_columns,1.0,0,0,[],[]
/base/data.py_attach_columns_eq,1.0,0,0,[],[]
/base/data.py_attach_cov,1.0,0,0,[],[]
/base/data.py_attach_cov_eq,1.0,0,0,[],[]
/base/data.py_attach_dates,1.0,2,2,['asarray' 'array'],['array_api._creation_functions.asarray' 'pdarraycreation.array']
/base/data.py_attach_generic_columns,1.0,0,0,[],[]
/base/data.py_attach_generic_columns_2d,1.0,0,0,[],[]
/base/data.py_attach_mv_confint,1.0,0,0,[],[]
/base/data.py_attach_rows,1.0,1,1,['array'],['pdarraycreation.array']
/base/data.py_attach_ynames,1.0,0,0,[],[]
/base/data.py_cov_names,1.0,0,0,[],[]
/base/data.py_handle_data,1.0,1,1,['asarray'],['array_api._creation_functions.asarray']
/base/data.py_handle_data_class_factory,1.0,0,0,[],[]
/base/data.py_handle_missing,0.75,4,3,['any' 'any' 'asarray' 'ndim'],"['array_api._utility_functions.any' 'pdarrayclass.any'
 'array_api._creation_functions.asarray']"
/base/data.py_param_names,1.0,0,0,[],[]
/base/data.py_row_labels,1.0,0,0,[],[]
/base/data.py_wrap_output,1.0,0,0,[],[]
/base/data.py_xnames,1.0,0,0,[],[]
/base/data.py_ynames,1.0,0,0,[],[]
/base/distributed_estimation.py___init__,1.0,0,0,[],[]
/base/distributed_estimation.py__calc_grad,1.0,1,1,['asarray'],['array_api._creation_functions.asarray']
/base/distributed_estimation.py__calc_wdesign_mat,1.0,3,3,['sqrt' 'asarray' 'sqrt'],"['array_api._elementwise_functions.sqrt'
 'array_api._creation_functions.asarray' 'pdarrayclass.sqrt']"
/base/distributed_estimation.py__est_regularized_debiased,1.0,2,2,['ceil' 'ceil'],['numeric.ceil' 'array_api._elementwise_functions.ceil']
/base/distributed_estimation.py__est_regularized_naive,1.0,0,0,[],[]
/base/distributed_estimation.py__est_unregularized_naive,1.0,0,0,[],[]
/base/distributed_estimation.py__helper_fit_partition,1.0,0,0,[],[]
/base/distributed_estimation.py__join_debiased,0.75,4,3,['array' 'zeros' 'zeros' 'abs'],"['pdarraycreation.array' 'array_api._creation_functions.zeros'
 'pdarraycreation.zeros']"
/base/distributed_estimation.py__join_naive,0.67,3,2,['abs' 'zeros' 'zeros'],['array_api._creation_functions.zeros' 'pdarraycreation.zeros']
/base/distributed_estimation.py_fit,1.0,0,0,[],[]
/base/distributed_estimation.py_fit_joblib,1.0,0,0,[],[]
/base/distributed_estimation.py_fit_sequential,1.0,0,0,[],[]
/base/distributed_estimation.py_predict,1.0,0,0,[],[]
/base/elastic_net.py___init__,1.0,0,0,[],[]
/base/elastic_net.py__gen_npfuncs,1.0,0,0,[],[]
/base/elastic_net.py__opt_1d,0.0,1,0,['abs'],[]
/base/elastic_net.py_fit_elasticnet,0.62,13,8,"['flatnonzero' 'ones' 'zeros' 'zeros' 'isscalar' 'ones' 'log' 'log' 'max'
 'ix_' 'dot' 'max' 'abs']","['array_api._creation_functions.ones' 'pdarraycreation.zeros'
 'array_api._creation_functions.zeros' 'pdarraycreation.ones'
 'array_api._elementwise_functions.log' 'numeric.log'
 'array_api._statistical_functions.max' 'pdarrayclass.max']"
/base/elastic_net.py_fittedvalues,1.0,0,0,[],[]
/base/elastic_net.py_nphess,0.0,1,0,['r_'],[]
/base/elastic_net.py_nploglike,0.67,3,2,['sum' 'r_' 'sum'],['pdarrayclass.sum' 'array_api._statistical_functions.sum']
/base/elastic_net.py_npscore,0.0,1,0,['r_'],[]
/base/l1_cvxopt.py_F,1.0,0,0,[],[]
/base/l1_cvxopt.py__fprime,0.5,2,1,['asarray' 'append'],['array_api._creation_functions.asarray']
/base/l1_cvxopt.py__get_G,1.0,3,3,['eye' 'concatenate' 'concatenate'],"['array_api._creation_functions.eye' 'pdarraysetops.concatenate'
 'util.concatenate']"
/base/l1_cvxopt.py__hessian_wrapper,1.0,5,5,['zeros' 'asarray' 'zeros' 'concatenate' 'concatenate'],"['pdarraycreation.zeros' 'array_api._creation_functions.asarray'
 'array_api._creation_functions.zeros' 'util.concatenate'
 'pdarraysetops.concatenate']"
/base/l1_cvxopt.py__objective_func,1.0,1,1,['asarray'],['array_api._creation_functions.asarray']
/base/l1_cvxopt.py_fit_l1_cvxopt_cp,0.6,5,3,['ones' 'ones' 'fabs' 'array' 'append'],"['array_api._creation_functions.ones' 'pdarraycreation.ones'
 'pdarraycreation.array']"
/base/l1_slsqp.py__f_ieqcons,0.0,1,0,['append'],[]
/base/l1_slsqp.py__fprime,0.0,1,0,['append'],[]
/base/l1_slsqp.py__fprime_ieqcons,1.0,3,3,['concatenate' 'concatenate' 'eye'],"['pdarraysetops.concatenate' 'util.concatenate'
 'array_api._creation_functions.eye']"
/base/l1_slsqp.py__get_disp_slsqp,1.0,0,0,[],[]
/base/l1_slsqp.py__objective_func,1.0,0,0,[],[]
/base/l1_slsqp.py_fit_l1_slsqp,0.6,5,3,['append' 'array' 'ones' 'fabs' 'ones'],"['pdarraycreation.array' 'pdarraycreation.ones'
 'array_api._creation_functions.ones']"
/base/l1_solvers_common.py__get_verbose_addon,1.0,0,0,[],[]
/base/l1_solvers_common.py_do_trim_params,1.0,2,2,['asarray' 'array'],['array_api._creation_functions.asarray' 'pdarraycreation.array']
/base/l1_solvers_common.py_qc_results,1.0,3,3,['array' 'isnan' 'isnan'],"['pdarraycreation.array' 'array_api._elementwise_functions.isnan'
 'numeric.isnan']"
/base/model.py___init__,0.67,3,2,['isnan' 'ndim' 'isnan'],['array_api._elementwise_functions.isnan' 'numeric.isnan']
/base/model.py__check_kwargs,1.0,0,0,[],[]
/base/model.py__fit_collinear,0.67,6,4,['abs' 'sqrt' 'sqrt' 'where' 'linalg.qr' 'where'],"['pdarrayclass.sqrt' 'array_api._elementwise_functions.sqrt'
 'array_api._searching_functions.where' 'numeric.where']"
/base/model.py__fit_zeros,1.0,7,7,['zeros' 'zeros' 'concatenate' 'concatenate' 'arange' 'arange' 'array'],"['array_api._creation_functions.zeros' 'pdarraycreation.zeros'
 'pdarraysetops.concatenate' 'util.concatenate'
 'array_api._creation_functions.arange' 'pdarraycreation.arange'
 'pdarraycreation.array']"
/base/model.py__get_init_kwds,1.0,0,0,[],[]
/base/model.py__get_robustcov_results,1.0,0,0,[],[]
/base/model.py__get_wald_nonlinear,1.0,0,0,[],[]
/base/model.py__handle_data,1.0,0,0,[],[]
/base/model.py__set_extra_params_names,1.0,0,0,[],[]
/base/model.py__transform_predict_exog,0.5,2,1,['atleast_2d' 'asarray'],['array_api._creation_functions.asarray']
/base/model.py_aic,1.0,0,0,[],[]
/base/model.py_bic,1.0,2,2,['log' 'log'],['numeric.log' 'array_api._elementwise_functions.log']
/base/model.py_bootstrap,1.0,2,2,['random.randint' 'array'],['pdarraycreation.randint' 'pdarraycreation.array']
/base/model.py_bse,0.75,4,3,['sqrt' 'empty' 'diag' 'sqrt'],"['pdarrayclass.sqrt' 'array_api._creation_functions.empty'
 'array_api._elementwise_functions.sqrt']"
/base/model.py_bsejac,0.67,3,2,['sqrt' 'diag' 'sqrt'],['array_api._elementwise_functions.sqrt' 'pdarrayclass.sqrt']
/base/model.py_bsejhj,0.67,3,2,['sqrt' 'sqrt' 'diag'],['pdarrayclass.sqrt' 'array_api._elementwise_functions.sqrt']
/base/model.py_conf_int,1.0,1,1,['asarray'],['array_api._creation_functions.asarray']
/base/model.py_cov_params,0.33,3,1,['asarray' 'dot' 'transpose'],['array_api._creation_functions.asarray']
/base/model.py_covjac,0.0,2,0,['dot' 'linalg.inv'],[]
/base/model.py_covjhj,0.0,2,0,['dot' 'linalg.inv'],[]
/base/model.py_df_modelwc,1.0,0,0,[],[]
/base/model.py_endog_names,1.0,0,0,[],[]
/base/model.py_exog_names,1.0,0,0,[],[]
/base/model.py_expandparams,1.0,0,0,[],[]
/base/model.py_f,1.0,0,0,[],[]
/base/model.py_f_test,1.0,2,2,['identity' 'array'],['util.identity' 'pdarraycreation.array']
/base/model.py_fit,1.0,2,2,['ones' 'ones'],['array_api._creation_functions.ones' 'pdarraycreation.ones']
/base/model.py_from_formula,1.0,0,0,[],[]
/base/model.py_get_nlfun,1.0,0,0,[],[]
/base/model.py_get_prediction,1.0,0,0,[],[]
/base/model.py_hess,1.0,0,0,[],[]
/base/model.py_hessian,1.0,0,0,[],[]
/base/model.py_hessian_factor,1.0,0,0,[],[]
/base/model.py_hessv,1.0,0,0,[],[]
/base/model.py_information,1.0,0,0,[],[]
/base/model.py_initialize,1.0,0,0,[],[]
/base/model.py_llf,1.0,0,0,[],[]
/base/model.py_llnull,1.0,2,2,['ones' 'ones'],['array_api._creation_functions.ones' 'pdarraycreation.ones']
/base/model.py_llr,1.0,0,0,[],[]
/base/model.py_llr_pvalue,1.0,0,0,[],[]
/base/model.py_load,1.0,0,0,[],[]
/base/model.py_loglike,1.0,0,0,[],[]
/base/model.py_loglikeobs,1.0,0,0,[],[]
/base/model.py_nloglike,1.0,0,0,[],[]
/base/model.py_normalized_cov_params,1.0,0,0,[],[]
/base/model.py_predict,1.0,0,0,[],[]
/base/model.py_pseudo_rsquared,1.0,2,2,['exp' 'exp'],['array_api._elementwise_functions.exp' 'numeric.exp']
/base/model.py_pvalues,0.0,1,0,['abs'],[]
/base/model.py_reduceparams,1.0,0,0,[],[]
/base/model.py_remove_data,1.0,0,0,[],[]
/base/model.py_save,1.0,0,0,[],[]
/base/model.py_score,1.0,0,0,[],[]
/base/model.py_score_obs,1.0,0,0,[],[]
/base/model.py_score_obsv,1.0,0,0,[],[]
/base/model.py_set_null_options,1.0,0,0,[],[]
/base/model.py_summary,1.0,0,0,[],[]
/base/model.py_t_test,0.78,9,7,"['dot' 'sqrt' 'sqrt' 'zeros_like' 'zeros_like' 'asarray' 'zeros' 'zeros'
 'diag']","['array_api._elementwise_functions.sqrt' 'pdarrayclass.sqrt'
 'array_api._creation_functions.zeros_like' 'pdarraycreation.zeros_like'
 'array_api._creation_functions.asarray' 'pdarraycreation.zeros'
 'array_api._creation_functions.zeros']"
/base/model.py_t_test_pairwise,1.0,2,2,['log' 'log'],['array_api._elementwise_functions.log' 'numeric.log']
/base/model.py_tvalues,1.0,0,0,[],[]
/base/model.py_use_t,1.0,0,0,[],[]
/base/model.py_wald_test,0.67,9,6,"['squeeze' 'zeros' 'isnan' 'isnan' 'linalg.pinv' 'linalg.matrix_rank'
 'dot' 'zeros' 'asarray']","['array_api._manipulation_functions.squeeze' 'pdarraycreation.zeros'
 'numeric.isnan' 'array_api._elementwise_functions.isnan'
 'array_api._creation_functions.zeros'
 'array_api._creation_functions.asarray']"
/base/model.py_wald_test_terms,0.6,5,3,['vstack' 'eye' 'atleast_2d' 'log' 'log'],"['array_api._creation_functions.eye'
 'array_api._elementwise_functions.log' 'numeric.log']"
/base/model.py_wipe,1.0,0,0,[],[]
/base/optimizer.py__check_method,1.0,0,0,[],[]
/base/optimizer.py__fit,0.0,1,0,['inf'],[]
/base/optimizer.py__fit_basinhopping,1.0,0,0,[],[]
/base/optimizer.py__fit_bfgs,0.0,1,0,['inf'],[]
/base/optimizer.py__fit_cg,0.0,1,0,['inf'],[]
/base/optimizer.py__fit_constrained,1.0,0,0,[],[]
/base/optimizer.py__fit_lbfgs,1.0,0,0,[],[]
/base/optimizer.py__fit_minimize,1.0,0,0,[],[]
/base/optimizer.py__fit_ncg,1.0,0,0,[],[]
/base/optimizer.py__fit_newton,0.56,9,5,"['inf' 'all' 'linalg.solve' 'any' 'any' 'diag_indices' 'all' 'abs'
 'asarray']","['array_api._utility_functions.all' 'pdarrayclass.any'
 'array_api._utility_functions.any' 'pdarrayclass.all'
 'array_api._creation_functions.asarray']"
/base/optimizer.py__fit_nm,1.0,0,0,[],[]
/base/optimizer.py__fit_powell,1.0,0,0,[],[]
/base/optimizer.py__fit_regularized,1.0,0,0,[],[]
/base/optimizer.py_check_kwargs,1.0,0,0,[],[]
/base/tests/test_data.py__initialize,1.0,0,0,[],[]
/base/tests/test_data.py_mod,1.0,0,0,[],[]
/base/tests/test_data.py_setup_class,0.58,12,7,"['zeros' 'zeros' 'ones' 'random.seed' 'column_stack' 'random.randn'
 'arange' 'random.random' 'c_' 'ones' 'arange' 'array']","['pdarraycreation.zeros' 'array_api._creation_functions.zeros'
 'array_api._creation_functions.ones'
 'array_api._creation_functions.arange' 'pdarraycreation.ones'
 'pdarraycreation.arange' 'pdarraycreation.array']"
/base/tests/test_data.py_test_alignment,0.8,5,4,['log' 'log' 'ones_like' 'ones_like' 'testing.assert_raises'],"['numeric.log' 'array_api._elementwise_functions.log'
 'array_api._creation_functions.ones_like' 'pdarraycreation.ones_like']"
/base/tests/test_data.py_test_array_constant,0.0,1,0,['testing.assert_equal'],[]
/base/tests/test_data.py_test_array_noconstant,0.0,1,0,['testing.assert_equal'],[]
/base/tests/test_data.py_test_array_pandas,0.0,1,0,['testing.assert_array_equal'],[]
/base/tests/test_data.py_test_arrays,0.5,4,2,['testing.assert_array_equal' 'random.randn' 'ones' 'ones'],['array_api._creation_functions.ones' 'pdarraycreation.ones']
/base/tests/test_data.py_test_attach,0.0,1,0,['testing.assert_equal'],[]
/base/tests/test_data.py_test_drop,0.5,4,2,['c_' 'testing.assert_array_equal' 'isnan' 'isnan'],['numeric.isnan' 'array_api._elementwise_functions.isnan']
/base/tests/test_data.py_test_dtype_object,0.33,3,1,['testing.assert_raises' 'random.randint' 'random.random'],['pdarraycreation.randint']
/base/tests/test_data.py_test_endog_only_drop,0.67,3,2,['isnan' 'isnan' 'testing.assert_array_equal'],['numeric.isnan' 'array_api._elementwise_functions.isnan']
/base/tests/test_data.py_test_endog_only_raise,1.0,0,0,[],[]
/base/tests/test_data.py_test_endogexog,0.0,1,0,['testing.assert_equal'],[]
/base/tests/test_data.py_test_extra_kwargs_1d,0.4,5,2,['c_' 'isnan' 'isnan' 'testing.assert_array_equal' 'random.random'],['array_api._elementwise_functions.isnan' 'numeric.isnan']
/base/tests/test_data.py_test_extra_kwargs_2d,0.33,6,2,['c_' 'testing.assert_array_equal' 'diag' 'isnan' 'random.random' 'isnan'],['numeric.isnan' 'array_api._elementwise_functions.isnan']
/base/tests/test_data.py_test_formula_missing_extra_arrays,0.33,3,1,['random.seed' 'random.uniform' 'random.randn'],['pdarraycreation.uniform']
/base/tests/test_data.py_test_hasconst,0.0,1,0,['linalg.LinAlgError'],[]
/base/tests/test_data.py_test_labels,0.67,3,2,['all' 'testing.assert_' 'all'],['array_api._utility_functions.all' 'pdarrayclass.all']
/base/tests/test_data.py_test_mv_endog,0.67,3,2,['isnan' 'isnan' 'testing.assert_array_equal'],['array_api._elementwise_functions.isnan' 'numeric.isnan']
/base/tests/test_data.py_test_names,0.0,1,0,['testing.assert_equal'],[]
/base/tests/test_data.py_test_none,0.0,1,0,['testing.assert_array_equal'],[]
/base/tests/test_data.py_test_noop,1.0,0,0,[],[]
/base/tests/test_data.py_test_orig,0.0,1,0,['testing.assert_equal'],[]
/base/tests/test_data.py_test_pandas,1.0,0,0,[],[]
/base/tests/test_data.py_test_pandas_array,0.0,1,0,['testing.assert_array_equal'],[]
/base/tests/test_data.py_test_pandas_constant,0.0,1,0,['testing.assert_equal'],[]
/base/tests/test_data.py_test_pandas_noconstant,0.0,1,0,['testing.assert_equal'],[]
/base/tests/test_data.py_test_raise,1.0,0,0,[],[]
/base/tests/test_data.py_test_raise_no_missing,0.0,1,0,['random.random'],[]
/base/tests/test_data.py_test_raise_nonfinite_exog,0.75,4,3,['arange' 'inf' 'arange' 'array'],"['pdarraycreation.arange' 'array_api._creation_functions.arange'
 'pdarraycreation.array']"
/base/tests/test_distributed_estimation.py__data_gen,1.0,4,4,['ceil' 'ceil' 'floor' 'floor'],"['array_api._elementwise_functions.ceil' 'numeric.ceil' 'numeric.floor'
 'array_api._elementwise_functions.floor']"
/base/tests/test_distributed_estimation.py__rep_data_gen,1.0,2,2,['ceil' 'ceil'],['numeric.ceil' 'array_api._elementwise_functions.ceil']
/base/tests/test_distributed_estimation.py_test_calc_grad,0.5,4,2,['random.randint' 'random.normal' 'array' 'random.seed'],['pdarraycreation.randint' 'pdarraycreation.array']
/base/tests/test_distributed_estimation.py_test_calc_wdesign_mat,0.5,4,2,['array' 'random.randint' 'random.seed' 'random.normal'],['pdarraycreation.array' 'pdarraycreation.randint']
/base/tests/test_distributed_estimation.py_test_debiased_v_average,0.5,6,3,['random.randint' 'exp' 'exp' 'linalg.norm' 'random.seed' 'random.normal'],"['pdarraycreation.randint' 'array_api._elementwise_functions.exp'
 'numeric.exp']"
/base/tests/test_distributed_estimation.py_test_est_regularized_debiased,0.33,3,1,['random.randint' 'random.normal' 'random.seed'],['pdarraycreation.randint']
/base/tests/test_distributed_estimation.py_test_est_regularized_naive,0.33,3,1,['random.seed' 'random.normal' 'random.randint'],['pdarraycreation.randint']
/base/tests/test_distributed_estimation.py_test_est_unregularized_naive,0.33,3,1,['random.randint' 'random.normal' 'random.seed'],['pdarraycreation.randint']
/base/tests/test_distributed_estimation.py_test_fit_joblib,0.5,4,2,['random.randint' 'array' 'random.seed' 'random.normal'],['pdarraycreation.randint' 'pdarraycreation.array']
/base/tests/test_distributed_estimation.py_test_fit_sequential,0.5,4,2,['array' 'random.normal' 'random.seed' 'random.randint'],['pdarraycreation.array' 'pdarraycreation.randint']
/base/tests/test_distributed_estimation.py_test_join_debiased,0.5,4,2,['random.randint' 'random.seed' 'array' 'random.normal'],['pdarraycreation.randint' 'pdarraycreation.array']
/base/tests/test_distributed_estimation.py_test_join_naive,0.5,4,2,['random.randint' 'random.seed' 'array' 'random.normal'],['pdarraycreation.randint' 'pdarraycreation.array']
/base/tests/test_distributed_estimation.py_test_larger_p,0.71,7,5,"['random.normal' 'random.seed' 'isnan' 'isnan' 'sum' 'random.randint'
 'sum']","['numeric.isnan' 'array_api._elementwise_functions.isnan'
 'pdarrayclass.sum' 'pdarraycreation.randint'
 'array_api._statistical_functions.sum']"
/base/tests/test_distributed_estimation.py_test_non_zero_params,0.33,3,1,['random.seed' 'random.normal' 'random.randint'],['pdarraycreation.randint']
/base/tests/test_distributed_estimation.py_test_repeat_partition,0.33,3,1,['random.seed' 'random.normal' 'random.randint'],['pdarraycreation.randint']
/base/tests/test_distributed_estimation.py_test_single_partition,0.33,3,1,['random.randint' 'random.normal' 'random.seed'],['pdarraycreation.randint']
/base/tests/test_generic_methods.py__get_constrained,1.0,0,0,[],[]
/base/tests/test_generic_methods.py_compare_waldres,1.0,0,0,[],[]
/base/tests/test_generic_methods.py_initialize,1.0,2,2,['log' 'log'],['numeric.log' 'array_api._elementwise_functions.log']
/base/tests/test_generic_methods.py_setup_class,0.67,6,4,['random.seed' 'log' 'log' 'ones' 'random.randn' 'ones'],"['array_api._elementwise_functions.log' 'numeric.log'
 'array_api._creation_functions.ones' 'pdarraycreation.ones']"
